,name,city_unmarried_m_f,rural_unmarried_m_f,city_baby_m_f,rural_baby_m_f,total_city_percent
????????,Beijing Municipality,117.29,142.14,112.4814264,109.73,0.859594925
????????,Tianjin Municipality,123.41,143.55,115.1286449,113.12,0.794353263
????????,Hebei Province,111.41,137.33,118.6485689,118.75,0.439436019
????????,Shanxi Province,113.38,151.81,114.664051,111.8,0.480524487
????????,Inner Mongolia Autonomous Region,126.82,172.33,105.3984101,113.41,0.555331191
????????,Liaoning Province,121.13,154.88,110.9881296,115.37,0.621491388
????????,Jilin Province,120.48,143.14,112.8357277,117.93,0.533577303
????????,Heilongjiang Province,122.72,140.52,112.8624689,117.3,0.556551652
????????,Shanghai Municipality,126.31,154.4,112.7557684,100.85,0.892954645
????????,Jiangsu Province,122.21,139.98,120.4324324,122.7,0.602223764
????????,Zhejiang Province,130.29,178.55,117.3758091,120.28,0.616427071
????????,Anhui Province,126.17,140.16,121.8780148,136.88,0.429864131
????????,Fujian Province,125.5,149.04,124.0574929,127.78,0.57087375
????????,Jiangxi Province,128.55,146.8,124.789272,130.51,0.437534752
????????,Shandong Province,117.35,135.54,121.2262038,127.03,0.497122615
????????,Henan Province,114.11,130.32,125.5103468,128.79,0.385193986
????????,Hubei Province,129.65,154.02,124.3923865,123.6,0.496963917
????????,Huban Province,126.5,159.88,123.4335201,127.35,0.433070518
????????,Guangdong Province,129.44,133.47,130.6498654,127.38,0.66171349
????????,Guangxi Zhuang Autonomous Region,132.43,180.27,125.8713579,119.84,0.40018118
????????,Hainan Province,128.67,173.21,131.1560394,128.13,0.496860226
????????,Chongqing Municipality,124.56,175.28,110.7271997,117.53,0.530254207
????????,Sichuan Province,122.15,160.38,112.9900232,112.97,0.402206196
????????,Guizhou Province,130.31,171.06,126.3218171,126.14,0.33778477
????????,Yunnan Province,128.91,187.84,112.7095176,113.99,0.347187183
????????,Tibet Autonomous Region,118.43,123.7,116.0493827,96.35,0.226699399
????????,Shaanxi Province,121.17,151.3,114.5313554,117.26,0.457019417
????????,Gansu Province,120.62,138.63,125.958014,124.35,0.359377927
????????,Qinghai Province,131.56,153.33,112.7952756,112.63,0.447197063
????????,Ningxia Hui Autonomous Region,120,140.35,113.2075472,115.17,0.479583264
????????,Xinjiang Uyghur Autonomous Region,125.41,151.75,106.4099498,105.18,0.427935055
